Data generated at Sun Jun  2 11:05:05 2019


SEE, SIE, SEI, SII | 2.05021 2.2621 -5.15568 -5.72008 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.55837 3.06386 -5.69218 -5.81111 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.02783 6.6533 -5.38428 -5.49363 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.00524 7.0204 -5.77588 -5.49596 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.09232 3.13039 -5.48109 -5.55247 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.20816 5.8828 -5.85951 -5.30924 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.99159 7.98443 -5.06388 -5.02949 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.64301 2.22304 -5.31172 -5.42016 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.52697 7.06715 -5.15581 -5.75038 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.25112 3.20349 -5.02969 -5.41187 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.04022 6.61065 -5.33707 -5.36863 | kickE, kickI 5000 5000
Data generated at Sun Jun  2 11:07:59 2019


SEE, SIE, SEI, SII | 5.10942 7.07784 -5.30978 -5.827 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.12512 2.33018 -5.11477 -5.04711 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.19178 6.23101 -5.85561 -5.71907 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.63042 2.01146 -5.34091 -5.49593 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.19663 6.80392 -5.7201 -5.74959 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.17415 3.11317 -5.49367 -5.27553 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.33694 6.14258 -5.28089 -5.5648 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.56679 3.7611 -5.51096 -5.75245 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.76556 4.45733 -5.00165 -5.33021 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.6779 5.90322 -5.17003 -5.26167 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.1697 5.83534 -5.08598 -5.56835 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.91013 5.8828 -5.57179 -5.57222 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.39668 5.39957 -5.98618 -5.68453 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.04787 7.26212 -5.60388 -5.41047 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.00971 7.13511 -5.08584 -5.73815 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.98744 4.58748 -5.80836 -5.00391 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.61837 4.48641 -5.65663 -5.62987 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.50318 7.55124 -5.73999 -5.65845 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.04644 5.16758 -5.39666 -5.6304 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.51543 5.85524 -5.04954 -5.49267 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.10942 7.07784 -5.30978 -5.827 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.12512 2.33018 -5.11477 -5.04711 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.19178 6.23101 -5.85561 -5.71907 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.63042 2.01146 -5.34091 -5.49593 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.19663 6.80392 -5.7201 -5.74959 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.17415 3.11317 -5.49367 -5.27553 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.33694 6.14258 -5.28089 -5.5648 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.56679 3.7611 -5.51096 -5.75245 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.76556 4.45733 -5.00165 -5.33021 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.6779 5.90322 -5.17003 -5.26167 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.1697 5.83534 -5.08598 -5.56835 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.91013 5.8828 -5.57179 -5.57222 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.39668 5.39957 -5.98618 -5.68453 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.04787 7.26212 -5.60388 -5.41047 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.00971 7.13511 -5.08584 -5.73815 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.98744 4.58748 -5.80836 -5.00391 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.61837 4.48641 -5.65663 -5.62987 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.50318 7.55124 -5.73999 -5.65845 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.04644 5.16758 -5.39666 -5.6304 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.51543 5.85524 -5.04954 -5.49267 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.10942 7.07784 -5.30978 -5.827 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.12512 2.33018 -5.11477 -5.04711 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.19178 6.23101 -5.85561 -5.71907 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.63042 2.01146 -5.34091 -5.49593 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.19663 6.80392 -5.7201 -5.74959 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.17415 3.11317 -5.49367 -5.27553 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.33694 6.14258 -5.28089 -5.5648 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.56679 3.7611 -5.51096 -5.75245 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.76556 4.45733 -5.00165 -5.33021 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.6779 5.90322 -5.17003 -5.26167 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.1697 5.83534 -5.08598 -5.56835 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.91013 5.8828 -5.57179 -5.57222 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.39668 5.39957 -5.98618 -5.68453 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.04787 7.26212 -5.60388 -5.41047 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.00971 7.13511 -5.08584 -5.73815 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.98744 4.58748 -5.80836 -5.00391 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.61837 4.48641 -5.65663 -5.62987 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.50318 7.55124 -5.73999 -5.65845 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.04644 5.16758 -5.39666 -5.6304 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.51543 5.85524 -5.04954 -5.49267 | kickE, kickI 5000 5000
Data generated at Sun Jun  2 11:10:47 2019


SEE, SIE, SEI, SII | 3.32121 3.64861 -5.07238 -5.38627 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.8719 6.64253 -5.28314 -5.16418 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.54788 6.55606 -5.28923 -5.638 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.63008 5.17909 -5.23312 -5.13421 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.30704 5.64099 -5.39413 -5.61894 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.74867 4.03373 -5.49953 -5.61756 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.17101 4.79045 -5.8309 -5.56229 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.28137 3.46608 -5.87978 -5.67382 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.84224 5.26312 -5.21706 -5.52316 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.42565 5.40201 -5.62108 -5.67002 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.97693 7.20582 -5.75461 -5.31035 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.75035 3.02908 -5.35001 -5.72423 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.9071 2.49078 -5.14491 -5.12589 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.0464 3.69933 -5.32077 -5.88414 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.15569 2.57577 -5.83163 -5.4031 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.70407 6.59887 -5.41346 -5.30872 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.49125 7.80776 -5.7156 -5.35635 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.01763 4.52636 -5.07421 -5.48221 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.96631 5.90663 -5.94523 -5.85373 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.08492 6.53258 -5.816 -5.71812 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.32121 3.64861 -5.07238 -5.38627 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.8719 6.64253 -5.28314 -5.16418 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.54788 6.55606 -5.28923 -5.638 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.63008 5.17909 -5.23312 -5.13421 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.30704 5.64099 -5.39413 -5.61894 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.74867 4.03373 -5.49953 -5.61756 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.17101 4.79045 -5.8309 -5.56229 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.28137 3.46608 -5.87978 -5.67382 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.84224 5.26312 -5.21706 -5.52316 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.42565 5.40201 -5.62108 -5.67002 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.97693 7.20582 -5.75461 -5.31035 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.75035 3.02908 -5.35001 -5.72423 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.9071 2.49078 -5.14491 -5.12589 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.0464 3.69933 -5.32077 -5.88414 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.15569 2.57577 -5.83163 -5.4031 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.70407 6.59887 -5.41346 -5.30872 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.49125 7.80776 -5.7156 -5.35635 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.01763 4.52636 -5.07421 -5.48221 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.96631 5.90663 -5.94523 -5.85373 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.08492 6.53258 -5.816 -5.71812 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.32121 3.64861 -5.07238 -5.38627 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.8719 6.64253 -5.28314 -5.16418 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.54788 6.55606 -5.28923 -5.638 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.63008 5.17909 -5.23312 -5.13421 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.30704 5.64099 -5.39413 -5.61894 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.74867 4.03373 -5.49953 -5.61756 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.17101 4.79045 -5.8309 -5.56229 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.28137 3.46608 -5.87978 -5.67382 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.84224 5.26312 -5.21706 -5.52316 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.42565 5.40201 -5.62108 -5.67002 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.97693 7.20582 -5.75461 -5.31035 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.75035 3.02908 -5.35001 -5.72423 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.9071 2.49078 -5.14491 -5.12589 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.0464 3.69933 -5.32077 -5.88414 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.15569 2.57577 -5.83163 -5.4031 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.70407 6.59887 -5.41346 -5.30872 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.49125 7.80776 -5.7156 -5.35635 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.01763 4.52636 -5.07421 -5.48221 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.96631 5.90663 -5.94523 -5.85373 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.08492 6.53258 -5.816 -5.71812 | kickE, kickI 5000 5000
Data generated at Sun Jun  2 11:12:40 2019


SEE, SIE, SEI, SII | 7.67766 5.03899 -5.40055 -5.9862 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.5654 3.8833 -5.04857 -5.44402 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.99715 4.35052 -5.90568 -5.59629 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.22273 5.00798 -5.25978 -5.16357 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.00306 7.18289 -5.48475 -5.49937 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.41181 4.3979 -5.40933 -5.63051 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.74609 5.43774 -5.99642 -5.58509 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.40303 5.52688 -5.27312 -5.92041 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.21711 3.78538 -5.06258 -5.75979 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.6919 7.98818 -5.17816 -5.62305 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.97074 2.91637 -5.51122 -5.03664 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.64988 7.0159 -5.86598 -5.51628 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.18151 6.69022 -5.67551 -5.23279 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.7728 4.95431 -5.52686 -5.97335 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.67067 6.53398 -5.61666 -5.245 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.80673 4.77842 -5.19788 -5.6385 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.66661 4.49187 -5.71026 -5.76524 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.48028 3.38793 -5.54731 -5.66216 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.92037 7.18401 -5.63232 -5.8472 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.92091 4.8588 -5.06168 -5.19279 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.67766 5.03899 -5.40055 -5.9862 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.5654 3.8833 -5.04857 -5.44402 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.99715 4.35052 -5.90568 -5.59629 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.22273 5.00798 -5.25978 -5.16357 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.00306 7.18289 -5.48475 -5.49937 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.41181 4.3979 -5.40933 -5.63051 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.74609 5.43774 -5.99642 -5.58509 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.40303 5.52688 -5.27312 -5.92041 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.21711 3.78538 -5.06258 -5.75979 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.6919 7.98818 -5.17816 -5.62305 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.97074 2.91637 -5.51122 -5.03664 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.64988 7.0159 -5.86598 -5.51628 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.18151 6.69022 -5.67551 -5.23279 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.7728 4.95431 -5.52686 -5.97335 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.67067 6.53398 -5.61666 -5.245 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.80673 4.77842 -5.19788 -5.6385 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.66661 4.49187 -5.71026 -5.76524 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 6.48028 3.38793 -5.54731 -5.66216 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.92037 7.18401 -5.63232 -5.8472 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.92091 4.8588 -5.06168 -5.19279 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.67766 5.03899 -5.40055 -5.9862 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.5654 3.8833 -5.04857 -5.44402 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.99715 4.35052 -5.90568 -5.59629 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.22273 5.00798 -5.25978 -5.16357 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.00306 7.18289 -5.48475 -5.49937 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.41181 4.3979 -5.40933 -5.63051 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.74609 5.43774 -5.99642 -5.58509 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.40303 5.52688 -5.27312 -5.92041 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.21711 3.78538 -5.06258 -5.75979 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.6919 7.98818 -5.17816 -5.62305 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.97074 2.91637 -5.51122 -5.03664 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.64988 7.0159 -5.86598 -5.51628 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.18151 6.69022 -5.67551 -5.23279 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.7728 4.95431 -5.52686 -5.97335 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.67067 6.53398 -5.61666 -5.245 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.80673 4.77842 -5.19788 -5.6385 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.66661 4.49187 -5.71026 -5.76524 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 6.48028 3.38793 -5.54731 -5.66216 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.92037 7.18401 -5.63232 -5.8472 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.92091 4.8588 -5.06168 -5.19279 | kickE, kickI 5000 5000
Data generated at Sun Jun  2 11:15:51 2019


SEE, SIE, SEI, SII | 2.8161 6.47619 -5.07279 -5.12709 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.61815 5.26082 -5.19317 -5.43984 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.21287 5.51437 -5.52442 -5.22155 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.09403 4.53824 -5.30234 -5.54076 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.9013 3.72415 -5.54933 -5.72779 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.16246 4.23364 -5.33466 -5.00349 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.27998 7.06757 -5.15227 -5.08674 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.27024 5.45009 -5.47428 -5.52523 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.16019 5.60228 -5.31317 -5.46274 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.54015 6.19234 -5.12844 -5.755 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.94511 4.30966 -5.68876 -5.39945 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.6906 3.92753 -5.11622 -5.62418 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.23916 6.94149 -5.64285 -5.49098 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.16938 4.54893 -5.47418 -5.533 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.37962 6.17192 -5.20622 -5.55149 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 6.629 7.93789 -5.95671 -5.42987 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.40585 2.49525 -5.29016 -5.27176 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.8142 6.67012 -5.41045 -5.42128 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.40094 7.4028 -5.88407 -5.05097 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.37039 3.80848 -5.65869 -5.46028 | kickE, kickI 1000 1000
